País;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Malásia;0;0;0;0;0;0;0;0;0;0;33;110;0;0;0
Malta;0;0;0;0;0;0;0;0;0;0;1192;8828;9688;15454;15587
Marshall, Ilhas;0;0;0;0;0;0;0;0;0;0;2436;15786;19639;22561;27178
Mauritânia;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0
México;0;0;0;7200;0;0;24336;0;0;2292;9744;4;226;2;33
Moçambique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1927
Montenegro;0;0;0;0;0;0;0;0;0;0;0;46;20;65;0
Namibia;722;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nicaragua;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0
Nigéria;10920;115;0;210;10196;2245;0;0;0;0;6250;38555;26514;113172;50283
Noruega;0;0;0;78688;31515;19008;50464;6021;0;0;9847;3139;15134;8320;40316
Nova Caledônia;0;0;0;0;0;0;0;0;0;0;0;0;0;11924;0
Nova Zelândia;0;0;0;7992;8817;4092;13675;3476;9472;8140;5565;2832;515;10477;156
Omã;0;0;0;0;0;0;0;0;0;0;0;0;0;0;670
Países Baixos;783635;136991;302182;395356;539641;255690;773767;186464;190203;0;32395;148031;1532;8484;37240
Panamá;1882;30;0;0;2262;0;0;0;0;0;3117;29017;28372;48444;49392
Paraguai;1374088;392087;449197;276281;428279;680828;908028;741370;1655417;4274650;5494321;3826587;3869243;7192362;7156293
Peru;0;0;0;0;0;0;0;0;0;0;19372;17310;0;17107;0
Polônia;58353;35797;95198;50684;89158;90960;107957;42781;35402;0;4679;11;86;14;0
Porto Rico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Portugal;48942;168923;18970;1031;47022;17627;79141;42586;0;0;0;72413;34518;42633;7613
Quênia;0;0;0;0;458;4;0;0;0;0;31225;0;0;0;2080
Reino Unido;155076;68788;295690;285642;334856;305005;1373747;308407;536681;242883;296827;164592;82722;122394;138154
República Dominicana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rússia;2352768;5732280;0;0;2103968;14795694;61440;18240;0;0;0;0;8550;312926;118618
São Tomé e Príncipe;0;0;0;0;0;0;0;0;0;0;2357;0;0;0;0
São Vicente e Granadinas;0;0;0;0;0;0;0;0;0;0;0;0;0;48;51
Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Serra Leoa;0;0;0;0;0;0;0;0;0;0;0;717;13050;12955;15182
Singapura;0;0;0;0;0;0;0;0;0;0;0;0;0;14346;15434
Suazilândia;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0
Suécia;84564;52826;0;14476;17280;20183;51057;6404;1214;64953;34563;761;24;74;18
Suíça;216317;81319;21600;0;47240;29785;231762;85790;33340;74816;0;28503;27930;6999;20863
Suriname;1625;12918;1269;3735;1288;2960;19;713;1375;5638;0;4741;5277;1472;3360
Tailândia;0;0;0;0;0;0;0;0;0;0;45;832;1753;2529;1713
Taiwan (FORMOSA);18679;0;0;10600;0;0;67907;23940;80379;43954;18421;67;4673;8153;277
Tanzânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tcheca, República;64709;43902;5285;37271;27789;23549;35005;15304;28473;16947;20980;16391;4805;5988;9997
Togo;7800;0;0;0;0;0;0;0;0;0;0;0;0;2012;25608
Trinidade Tobago;0;0;0;0;2720;0;1600;0;0;0;0;0;0;0;0
Tunísia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turquia;0;0;0;0;0;0;0;0;0;0;150;209;0;878;503
Tuvalu;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
Uruguai;0;0;2929;4404;3879;13343;0;0;0;0;29617;18497;0;149842;997367
Vanuatu;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0
Venezuela;0;0;0;0;7492;0;232;0;0;2646;355;0;9808;35944;32351
Vietnã;0;2143;9977;0;0;0;0;0;0;0;0;32;584;0;277
